date,open,high,low,close,adjusted_close,volume
2007-01-01,46.000000,46.484622,45.929861,46.413852,46.413852,9957499
2007-01-02,46.413852,48.223408,46.367867,48.175678,48.175678,5674372
2007-01-03,48.175678,48.392698,48.044580,48.261367,48.261367,6049929
2007-01-04,48.261367,48.685293,48.205488,48.628988,48.628988,12069523
2007-01-05,48.628988,48.652710,47.858351,47.881709,47.881709,3905905
2007-01-08,47.881709,48.052917,46.310756,46.476941,46.476941,7348001
2007-01-09,46.476941,46.873446,46.354909,46.750695,46.750695,14281594
2007-01-10,46.750695,46.879478,46.242499,46.370233,46.370233,4093624
2007-01-11,46.370233,46.788952,46.286604,46.704719,46.704719,6367652
2007-01-12,46.704719,46.917086,45.936976,46.146806,46.146806,7547840
2007-01-15,46.146806,46.295310,45.531673,45.678671,45.678671,6609669
2007-01-16,45.678671,47.240803,45.524919,47.082326,47.082326,6570270
2007-01-17,47.082326,48.012859,46.930580,47.858610,47.858610,7878604
2007-01-18,47.858610,48.504583,47.723435,48.367969,48.367969,3979687
2007-01-19,48.367969,48.874691,48.077632,48.583064,48.583064,5150929
2007-01-22,48.583064,48.790244,48.487333,48.694294,48.694294,4348322
2007-01-23,48.694294,49.218562,48.592672,49.116060,49.116060,5441837
2007-01-24,49.116060,51.079032,48.585948,50.533620,50.533620,5752881
2007-01-25,50.533620,50.575421,50.102448,50.143926,50.143926,3776326
2007-01-26,50.143926,50.309543,50.117560,50.283104,50.283104,3153647
2007-01-29,50.283104,50.619569,50.172267,50.508236,50.508236,4702487
2007-01-30,50.508236,50.756330,49.242666,49.485737,49.485737,7420152
2007-01-31,49.485737,50.242948,49.292633,50.047651,50.047651,7847181
2007-02-01,50.047651,51.373233,49.933976,51.256811,51.256811,8090801
2007-02-02,51.256811,53.696706,51.224892,53.663289,53.663289,5844498
2007-02-05,53.663289,54.386986,53.600878,54.323807,54.323807,3960959
2007-02-06,54.323807,55.641702,54.000864,55.312879,55.312879,12435521
2007-02-07,55.312879,55.652532,54.687243,55.025129,55.025129,4568937
2007-02-08,55.025129,55.397572,53.786326,54.152865,54.152865,6826632
2007-02-09,54.152865,54.964168,54.044106,54.854000,54.854000,5864169
2007-02-12,54.854000,54.972544,54.791797,54.910277,54.910277,5990114
2007-02-13,54.910277,56.151650,54.813296,56.052652,56.052652,7565650
2007-02-14,56.052652,56.877544,55.848660,56.671300,56.671300,4313498
2007-02-15,56.671300,56.813422,56.667708,56.809821,56.809821,3616853
2007-02-16,56.809821,56.898546,56.005522,56.093128,56.093128,2761489
2007-02-19,56.093128,56.954531,55.973262,56.833084,56.833084,5751415
2007-02-20,56.833084,57.937813,56.436360,57.536180,57.536180,5509306
2007-02-21,57.536180,57.699918,56.908879,57.071294,57.071294,6250436
2007-02-22,57.071294,57.282928,56.852960,57.064570,57.064570,7184240
2007-02-23,57.064570,59.220180,56.739637,58.884882,58.884882,15971599
2007-02-26,58.884882,58.896360,58.692601,58.704043,58.704043,4183745
2007-02-27,58.704043,59.330038,58.474418,59.098869,59.098869,9730093
2007-02-28,59.098869,60.027291,58.751513,59.676540,59.676540,2966596
2007-03-01,59.676540,59.723986,59.111883,59.158917,59.158917,7350800
2007-03-02,59.158917,61.239900,59.022097,61.098594,61.098594,4376142
2007-03-05,61.098594,62.564635,60.780762,62.240861,62.240861,4736483
2007-03-06,62.240861,62.333435,61.724999,61.816942,61.816942,4176146
2007-03-07,61.816942,62.028005,59.356206,59.559561,59.559561,7232953
2007-03-08,59.559561,60.314305,59.549548,60.304167,60.304167,6286583
2007-03-09,60.304167,61.312133,60.159422,61.165321,61.165321,6695804
2007-03-12,61.165321,61.905989,61.136480,61.876813,61.876813,5312260
2007-03-13,61.876813,62.065755,60.665972,60.851784,60.851784,7144865
2007-03-14,60.851784,63.311577,60.693290,63.147104,63.147104,7688707
