date,open,high,low,close,adjusted_close,volume
2007-01-01,29.000000,29.105720,28.660345,28.765208,28.765208,4506459
2007-01-02,28.765208,29.430002,28.724116,29.388020,29.388020,4987516
2007-01-03,29.388020,29.630232,28.693756,28.932211,28.932211,4697742
2007-01-04,28.932211,29.428796,28.731723,29.226270,29.226270,5950389
2007-01-05,29.226270,29.247691,28.116208,28.136831,28.136831,3596730
2007-01-08,28.136831,28.198501,28.085902,28.147552,28.147552,5419032
2007-01-09,28.147552,28.268468,27.670588,27.789967,27.789967,6170593
2007-01-10,27.789967,27.883255,27.302470,27.394430,27.394430,4798007
2007-01-11,27.394430,27.844502,27.329189,27.778346,27.778346,5830279
2007-01-12,27.778346,27.919304,27.060176,27.198190,27.198190,9836519
2007-01-15,27.198190,27.250220,26.998438,27.050185,27.050185,4732651
2007-01-16,27.050185,27.161072,26.847502,26.958012,26.958012,5678669
2007-01-17,26.958012,27.127833,26.878869,27.048424,27.048424,6881824
2007-01-18,27.048424,27.276118,26.920607,27.147831,27.147831,8840856
2007-01-19,27.147831,27.161339,26.922619,26.936022,26.936022,5537550
2007-01-22,26.936022,26.949366,26.346770,26.359828,26.359828,4786065
2007-01-23,26.359828,26.583196,26.230846,26.453754,26.453754,6758580
2007-01-24,26.453754,26.612495,26.312291,26.470940,26.470940,13366743
2007-01-25,26.470940,27.094939,26.387876,27.010183,27.010183,6522720
2007-01-26,27.010183,27.236966,26.813350,27.039916,27.039916,7801627
2007-01-29,27.039916,27.235913,26.361448,26.553922,26.553922,6484550
2007-01-30,26.553922,27.321688,26.471712,27.237363,27.237363,9510713
2007-01-31,27.237363,27.362340,26.913935,27.037997,27.037997,3817660
2007-02-01,27.037997,27.372782,26.994262,27.328577,27.328577,7848320
2007-02-02,27.328577,28.087273,27.282013,28.039498,28.039498,6958225
2007-02-05,28.039498,28.295235,27.932806,28.187978,28.187978,7439836
2007-02-06,28.187978,28.520640,28.098696,28.430591,28.430591,6938183
2007-02-07,28.430591,28.581200,28.327360,28.477798,28.477798,8935183
2007-02-08,28.477798,28.544606,28.151101,28.217298,28.217298,5882525
2007-02-09,28.217298,28.323404,28.159792,28.265799,28.265799,4860131
2007-02-12,28.265799,28.281388,28.111919,28.127432,28.127432,6240159
2007-02-13,28.127432,28.988736,27.864217,28.719976,28.719976,6705176
2007-02-14,28.719976,28.888079,28.631002,28.798861,28.798861,8333278
2007-02-15,28.798861,29.689518,28.743438,29.632490,29.632490,6841913
2007-02-16,29.632490,30.095796,29.484205,29.945942,29.945942,4078145
2007-02-19,29.945942,30.721108,29.920516,30.695045,30.695045,6876144
2007-02-20,30.695045,30.751080,29.636678,29.690880,29.690880,8213172
2007-02-21,29.690880,29.752092,29.563235,29.624310,29.624310,5336832
2007-02-22,29.624310,29.735569,29.191048,29.301094,29.301094,8704197
2007-02-23,29.301094,29.481097,29.261989,29.441804,29.441804,5498011
2007-02-26,29.441804,29.499612,29.048149,29.105297,29.105297,9021935
2007-02-27,29.105297,29.763923,28.640703,29.296281,29.296281,5541550
2007-02-28,29.296281,29.486816,29.273254,29.463657,29.463657,4371902
2007-03-01,29.463657,29.476266,28.813799,28.826135,28.826135,3870718
2007-03-02,28.826135,29.355045,28.717623,29.244955,29.244955,5204614
2007-03-05,29.244955,29.364383,28.981338,29.100174,29.100174,6665529
2007-03-06,29.100174,29.220441,28.917109,29.037116,29.037116,8548023
2007-03-07,29.037116,29.044955,28.669726,28.677468,28.677468,6592060
2007-03-08,28.677468,28.914421,27.846912,28.078920,28.078920,3453261
2007-03-09,28.078920,28.227408,28.007084,28.155377,28.155377,7345642
2007-03-12,28.155377,28.230843,28.003487,28.078748,28.078748,6010077
2007-03-13,28.078748,28.171284,27.375395,27.465911,27.465911,7972430
2007-03-14,27.465911,28.530350,27.161308,28.217412,28.217412,4060744
2007-03-15,28.217412,28.439199,27.729806,27.949487,27.949487,10218206
2007-03-16,27.949487,28.104276,27.873748,28.028324,28.028324,6592644
2007-03-19,28.028324,28.088676,27.537227,27.596649,27.596649,7962266
2007-03-20,27.596649,27.759804,27.564079,27.727080,27.727080,3640800
2007-03-21,27.727080,28.014829,27.470407,27.757870,27.757870,12369761
2007-03-22,27.757870,27.914673,27.587492,27.744218,27.744218,4802098
2007-03-23,27.744218,27.841224,27.564608,27.661325,27.661325,5215301
2007-03-26,27.661325,27.769428,27.624432,27.732440,27.732440,4506544
2007-03-27,27.732440,28.176702,27.531256,27.973767,27.973767,5098293
2007-03-28,27.973767,28.181247,27.927997,28.135213,28.135213,4343054
2007-03-29,28.135213,28.942784,28.134200,28.941741,28.941741,5576244
2007-03-30,28.941741,28.985851,28.482187,28.525663,28.525663,12504925
2007-04-02,28.525663,28.978259,28.293499,28.744316,28.744316,5217569
2007-04-03,28.744316,28.780269,28.312406,28.347863,28.347863,4082683
2007-04-04,28.347863,29.087205,28.189163,28.925272,28.925272,5011696
2007-04-05,28.925272,29.123352,28.639212,28.836685,28.836685,4315412
2007-04-06,28.836685,28.863196,28.776364,28.802844,28.802844,5839947
2007-04-09,28.802844,28.813381,28.088154,28.098433,28.098433,6982777
2007-04-10,28.098433,28.449537,28.024843,28.375222,28.375222,7490304
2007-04-11,28.375222,28.992489,28.272618,28.888030,28.888030,3493750
2007-04-12,28.888030,29.097893,27.759610,27.962751,27.962751,6832534
